chapter,section,word_paragraph_count,markdown_paragraph_count,inserted_paragraph_count,deleted_paragraph_count,preserved_object_count,tables,pictures,formulas,completed,focus_mismatch_section
摘要,摘要,5,5,0,0,0,0,0,0,yes,no
Abstract,Abstract,4,4,0,0,0,0,0,0,yes,no
第一章 绪论,1.1 研究背景,4,4,0,0,0,0,0,0,yes,no
第一章 绪论,1.2 国内外研究现状,7,7,0,0,0,0,0,0,yes,no
第一章 绪论,1.3 研究内容与目标,2,2,0,0,0,0,0,0,yes,no
第一章 绪论,1.4 论文结构安排,1,1,0,0,0,0,0,0,yes,no
第二章 相关技术综述,2.1 大语言模型技术概述,4,4,0,0,0,0,0,0,yes,no
第二章 相关技术综述,2.2 Server-Sent Events 技术,4,3,0,1,0,0,0,0,yes,yes
第二章 相关技术综述,2.3 Vue 3 Composition API,3,3,0,0,0,0,0,0,yes,no
第二章 相关技术综述,2.4 Spring Boot 3 异步编程模型,4,3,0,1,0,0,0,0,yes,yes
第二章 相关技术综述,2.5 Apache PDFBox 3.0,4,3,0,1,0,0,0,0,yes,yes
第三章 系统分析与设计,3.1 功能性需求分析,8,8,0,0,1,0,1,0,yes,no
第三章 系统分析与设计,3.2 非功能性需求分析,3,3,0,0,0,0,0,0,yes,no
第三章 系统分析与设计,3.3 数据库设计说明,4,4,0,0,1,0,1,0,yes,no
第三章 系统分析与设计,3.4 系统架构说明,3,3,0,0,1,0,1,0,yes,no
第四章 系统实现,4.1 系统实现总体说明,3,3,0,0,0,0,0,0,yes,no
第四章 系统实现,4.2 用户认证与基础设施实现,3,3,0,0,0,0,0,0,yes,no
第四章 系统实现,4.3 简历解析模块实现,5,6,1,0,0,0,0,0,yes,yes
第四章 系统实现,4.4 面试会话模块实现,3,3,0,0,0,0,0,0,yes,no
第四章 系统实现,4.5 沉浸式流式模拟面试模块实现,5,5,0,0,0,0,0,0,yes,no
第四章 系统实现,4.6 评估报告生成模块实现,3,3,0,0,0,0,0,0,yes,no
第四章 系统实现,4.7 本章小结,2,2,0,0,0,0,0,0,yes,no
第五章 系统测试,5.1 测试目的与测试思路,3,3,0,0,0,0,0,0,yes,no
第五章 系统测试,5.2 测试环境说明,3,3,0,0,1,1,0,0,yes,no
第五章 系统测试,5.3 功能测试,6,7,1,0,2,2,0,0,yes,yes
第五章 系统测试,5.4 性能测试,4,4,0,0,1,1,0,0,yes,no
第五章 系统测试,5.5 测试结论,3,3,0,0,0,0,0,0,yes,no
第六章 总结与展望,6.1 总结,2,3,1,0,0,0,0,0,yes,yes
第六章 总结与展望,6.2 不足与展望,2,3,1,0,0,0,0,0,yes,yes
